model,threshold,sensitivity,specificity,ppv,npv,tp,fp,tn,fn,n_test_rows
OneICU 1-minute MAP model,0.08358,0.9,0.8326,0.4414,0.9827,62244,78765,391735,6915,539659
OneICU 5-minute MAP model,0.081092,0.9,0.8244,0.4297,0.9825,62244,82606,387894,6915,539659
OneICU hourly MAP model,0.05541,0.9,0.7026,0.3079,0.9795,62244,139926,330574,6915,539659
eICU (5-minute MAP model),0.059949,0.9,0.7082,0.2834,0.9822,23484,59392,144143,2609,229628
MIMIC-IV (hourly MAP model),0.073102,0.9,0.3807,0.165,0.9655,86143,436035,268030,9571,799779
