model,threshold,sensitivity,specificity,ppv,npv,tp,fp,tn,fn,n_test_rows
OneICU 1-minute MAP model,0.166253,0.8358,0.9,0.5513,0.9739,57800,47042,423458,11359,539659
OneICU 5-minute MAP model,0.171343,0.8284,0.9,0.5491,0.9727,57291,47036,423464,11868,539659
OneICU hourly MAP model,0.208971,0.7342,0.9,0.5191,0.9584,50778,47049,423451,18381,539659
eICU (5-minute MAP model),0.203504,0.708,0.9,0.4759,0.9601,18473,20346,183189,7620,229628
MIMIC-IV (hourly MAP model),0.29506,0.5228,0.9,0.4154,0.9328,50035,70405,633660,45679,799779
